timestamp_sent,field,channel,reading
1668546475.256201,D,Y,0.018310546875
1668546475.256201,D,Z,-0.96527099609375
1668546475.257193,D,X,-0.0030517578125
1668546475.257193,D,Y,0.01495361328125
1668546475.257193,D,Z,-0.9454345703125
1668546475.258185,D,X,-0.00335693359375
1668546475.258185,D,Y,0.010986328125
1668546475.258185,D,Z,-0.92987060546875
1668546475.259177,D,X,-0.001220703125
1668546475.259177,D,Y,0.00885009765625
1668546475.259177,D,Z,-0.90850830078125
1668546475.260169,D,X,-0.00030517578125
1668546475.260169,D,Y,0.0067138671875
1668546475.260169,D,Z,-0.8935546875
1668546475.261161,D,X,-0.00579833984375
1668546475.261161,D,Y,0.00030517578125
1668546475.261161,D,Z,-0.89691162109375
1668546475.262153,D,X,-0.00457763671875
1668546475.262153,D,Y,-0.00030517578125
1668546475.262153,D,Z,-0.89019775390625
1668546475.259764,A,X,-0.0177001953125
1668546475.259764,A,Y,0.03570556640625
1668546475.259764,A,Z,-0.93536376953125
1668546475.260764,A,X,-0.01556396484375
1668546475.260764,A,Y,0.03021240234375
1668546475.260764,A,Z,-0.9405517578125
1668546475.261764,A,X,-0.01190185546875
1668546475.261764,A,Y,0.0213623046875
1668546475.261764,A,Z,-0.94482421875
1668546475.262764,A,X,-0.0091552734375
1668546475.262764,A,Y,0.02655029296875
1668546475.262764,A,Z,-0.94818115234375
1668546475.263764,A,X,-0.01556396484375
1668546475.263764,A,Y,0.03265380859375
1668546475.263764,A,Z,-0.9564208984375
1668546475.264764,A,X,-0.023193359375
1668546475.264764,A,Y,0.0384521484375
1668546475.264764,A,Z,-0.96466064453125
1668546475.265764,A,X,-0.030517578125
1668546475.265764,A,Y,0.04150390625
1668546475.265764,A,Z,-0.96954345703125
1668546475.261487,B,X,0.02288818359375
1668546475.261487,B,Y,0.0341796875
1668546475.261487,B,Z,-0.89447021484375
1668546475.262485,B,X,0.02197265625
1668546475.262485,B,Y,0.0421142578125
1668546475.262485,B,Z,-0.89691162109375
1668546475.263483,B,X,0.018310546875
1668546475.263483,B,Y,0.04364013671875
1668546475.263483,B,Z,-0.89385986328125
1668546475.264481,B,X,0.01495361328125
1668546475.264481,B,Y,0.04058837890625
