timestamp_sent,field,channel,reading
1668546462.625759,A,Z,-0.9295654296875
1668546462.626759,A,X,-0.0457763671875
1668546462.626759,A,Y,0.015869140625
1668546462.626759,A,Z,-0.92376708984375
1668546462.627759,A,X,-0.0482177734375
1668546462.627759,A,Y,0.01373291015625
1668546462.627759,A,Z,-0.9112548828125
1668546462.628759,A,X,-0.0482177734375
1668546462.628759,A,Y,0.0115966796875
1668546462.628759,A,Z,-0.9027099609375
1668546462.629759,A,X,-0.03997802734375
1668546462.629759,A,Y,0.02288818359375
1668546462.629759,A,Z,-0.90911865234375
1668546462.630759,A,X,-0.03387451171875
1668546462.630759,A,Y,0.03204345703125
1668546462.630759,A,Z,-0.921630859375
1668546462.625969,B,X,-0.01556396484375
1668546462.625969,B,Y,0.0238037109375
1668546462.625969,B,Z,-0.90911865234375
1668546462.626967,B,X,-0.01556396484375
1668546462.626967,B,Y,0.02532958984375
1668546462.626967,B,Z,-0.9100341796875
1668546462.627965,B,X,-0.01800537109375
1668546462.627965,B,Y,0.0189208984375
1668546462.627965,B,Z,-0.90667724609375
1668546462.628963,B,X,-0.01556396484375
1668546462.628963,B,Y,0.025634765625
1668546462.628963,B,Z,-0.89569091796875
1668546462.629961,B,X,-0.0048828125
1668546462.629961,B,Y,0.03662109375
1668546462.629961,B,Z,-0.88592529296875
1668546462.630959,B,X,0.00518798828125
1668546462.630959,B,Y,0.04425048828125
1668546462.630959,B,Z,-0.88592529296875
1668546462.631957,B,X,0.0189208984375
1668546462.631957,B,Y,0.05035400390625
1668546462.631957,B,Z,-0.8843994140625
1668546462.628272,D,X,-0.013427734375
1668546462.628272,D,Y,0.03570556640625
1668546462.628272,D,Z,-0.98907470703125
1668546462.629264,D,X,-0.01190185546875
1668546462.629264,D,Y,0.02838134765625
1668546462.629264,D,Z,-0.9808349609375
1668546462.630256,D,X,-0.00732421875
1668546462.630256,D,Y,0.0213623046875
1668546462.630256,D,Z,-0.95977783203125
1668546462.631248,D,X,-0.0054931640625
1668546462.631248,D,Y,0.01220703125
1668546462.631248,D,Z,-0.9405517578125
1668546462.63224,D,X,0.00091552734375
1668546462.63224,D,Y,0.003662109375
1668546462.63224,D,Z,-0.91827392578125
1668546462.633232,D,X,0.0054931640625
1668546462.633232,D,Y,-0.0018310546875
